clasificacion_codigo,clasificacion_nombre,articulo_sk,articulo_clave,descripcion,existencia_total,fecha_corte
10,TEXTIL,32408,FF618740005,HUIPIL TENIDO CEDRO,1,2025-09-03
10,TEXTIL,18895,CC612430036,COJIN TENANGO C/BOLILLO C/CENEFA 50X40,1,2025-09-03
10,TEXTIL,18871,CC612430014,KLEENERA TENANGO GDE,66,2025-09-03
10,TEXTIL,9406,C6295130,MANTEL TENANGO MULTICOLOR 2X2,2,2025-09-03
11,METALES,10967,C919890019,KLEENERA CUAD ALUMINIO 12X12X15,2,2025-09-03
11,METALES,11163,C9568088,ESPEJO MINI,77,2025-09-03
11,METALES,25009,F92520373,CAJA 16X16,1,2025-09-03
11,METALES,10929,C919840034,CRUZ VIRGEN PEWTER MINI,9,2025-09-03
11,METALES,10925,C919840030,CATRINA CUAD PEWTER  CH,1,2025-09-03
11,METALES,10871,C917070002,LATA DULCES GENIO,7,2025-09-03
11,METALES,11113,C95680009,ESTRELLA CALADA GDE,7,2025-09-03
11,METALES,11280,C96600084,AZUCARERA CACATUA CON CONCHA PLATEADO,1,2025-09-03
11,METALES,14683,CC16600044,DIJE PERICO C/SUJETADOR DE PIEL,1,2025-09-03
11,METALES,10950,C919890002,PANERA #4 RED C BISEL ALUMINIO 24X9.5,4,2025-09-03
12,FIBRAS VEGETALES,984,C012407056,TENATE C/TAPA PALMA TEJIDA CH,1,2025-09-03
12,FIBRAS VEGETALES,753,C012074074,CAMPESINA HOJA DE MAIZ MINI,21,2025-09-03
12,FIBRAS VEGETALES,956,C012407028,CARTERA MONEDERO  PALMA TEJIDA 12CMS,1,2025-09-03
12,FIBRAS VEGETALES,894,C0121697010,BOLSA CARTERA CROSSBODY,1,2025-09-03
12,FIBRAS VEGETALES,11389,CC01215210007,CRUZ MEDIANA POPOTILLO,7,2025-09-03
12,FIBRAS VEGETALES,975,C012407047,TENATE CH C/TAPA PALMA TEJIDA,2,2025-09-03
12,FIBRAS VEGETALES,1034,C012951033,CANASTA CUADRADA GDE PALMA EDO,1,2025-09-03
12,FIBRAS VEGETALES,33182,NA0121882065,VENADO GDE BEJUCO TABASCO,2,2025-09-03
12,FIBRAS VEGETALES,11510,CC01215580036,CUADRO POPOTILLO TEMAS VAR 20X15,1,2025-09-03
12,FIBRAS VEGETALES,947,C012407019,CEPILLERO PALMA TEJIDA,1,2025-09-03
13,ARTESANIA GENERAL,24729,F819390009,NACIMIENTO TARAHUMARA CESTO C TAPA,3,2025-09-03
13,ARTESANIA GENERAL,10377,C819460005,BOLSA TOTE NEGRA GDE,1,2025-09-03
13,ARTESANIA GENERAL,10391,C8292009,PANTUNFLA PIEL/BORREGO MINI 13,1,2025-09-03
13,ARTESANIA GENERAL,19751,CC815110014,CUADRO 60X60   DE ESTAMBRE HUICHOL,1,2025-09-03
13,ARTESANIA GENERAL,10395,C8292013,PANTUNFLA PIEL/BORREGO CHICA  17,1,2025-09-03
13,ARTESANIA GENERAL,24673,F810160001,CALAVERA OFICIOS CARTONERIA/MADERA,3,2025-09-03
13,ARTESANIA GENERAL,24718,F819350004,JABON CATRINA DE MAIZ VARIOS COL,2,2025-09-03
